id,soil_moisture,soil_temperature,soil_electrocoductivity,battery_level,createdAt,sensor_id,owner
154835,23,22.2,121,86,"2021-08-01 00:00:43",A405,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154836,26,21,164,86,"2021-08-01 00:02:06",A403,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154839,27,20.7,228,86,"2021-08-01 00:08:56",A402,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154852,24,23.6,176,86,"2021-08-01 00:22:17",A404,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154859,18,20.1,81,86,"2021-08-01 00:28:14",A401,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154861,23,22,121,86,"2021-08-01 00:31:02",A405,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154862,26,20.8,165,86,"2021-08-01 00:32:25",A403,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154865,27,20.6,226,86,"2021-08-01 00:39:19",A402,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154878,24,23.5,177,86,"2021-08-01 00:52:33",A404,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154885,18,20,81,86,"2021-08-01 00:58:38",A401,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154887,23,21.8,121,86,"2021-08-01 01:01:20",A405,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154888,26,20.7,163,86,"2021-08-01 01:02:43",A403,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154891,27,20.5,226,86,"2021-08-01 01:09:40",A402,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154905,24,23.3,176,86,"2021-08-01 01:22:50",A404,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154910,18,19.8,82,86,"2021-08-01 01:29:04",A401,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154913,23,21.7,121,86,"2021-08-01 01:31:38",A405,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154914,26,20.6,161,86,"2021-08-01 01:33:03",A403,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154917,27,20.4,227,86,"2021-08-01 01:40:04",A402,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154931,24,23.2,175,86,"2021-08-01 01:53:08",A404,e3f1f2de-bf37-4188-a163-084a2a9bba3a
154936,18,19.7,81,86,"2021-08-01 01:59:27",A401,e3f1f2de-bf37-4188-a163-084a2a9bba3a
