id,soil_moisture,soil_temperature,soil_electrocoductivity,battery_level,createdAt,sensor_id,owner
154837,25,20.8,286,86,"2021-08-01 00:02:14",C911,6039de0a-94ab-473e-9bc6-2a474ba89712
154838,26,22.4,490,86,"2021-08-01 00:06:27",C906,6039de0a-94ab-473e-9bc6-2a474ba89712
154842,14,21.5,81,86,"2021-08-01 00:13:38",C907,6039de0a-94ab-473e-9bc6-2a474ba89712
154843,22,24.6,138,86,"2021-08-01 00:15:23",C908,6039de0a-94ab-473e-9bc6-2a474ba89712
154845,19,22.5,3,86,"2021-08-01 00:17:28",C912,6039de0a-94ab-473e-9bc6-2a474ba89712
154850,18,24.4,132,86,"2021-08-01 00:20:07",C910,6039de0a-94ab-473e-9bc6-2a474ba89712
154851,28,25.7,118,86,"2021-08-01 00:21:35",C905,6039de0a-94ab-473e-9bc6-2a474ba89712
154853,19,23.2,87,86,"2021-08-01 00:22:28",C902,6039de0a-94ab-473e-9bc6-2a474ba89712
154856,28,25.3,100,86,"2021-08-01 00:26:39",C904,6039de0a-94ab-473e-9bc6-2a474ba89712
154858,31,22.5,361,86,"2021-08-01 00:27:26",C909,6039de0a-94ab-473e-9bc6-2a474ba89712
154863,25,20.6,286,86,"2021-08-01 00:32:32",C911,6039de0a-94ab-473e-9bc6-2a474ba89712
154864,26,22.3,492,86,"2021-08-01 00:36:50",C906,6039de0a-94ab-473e-9bc6-2a474ba89712
154868,14,21.4,81,86,"2021-08-01 00:43:49",C907,6039de0a-94ab-473e-9bc6-2a474ba89712
154869,22,24.4,138,86,"2021-08-01 00:45:45",C908,6039de0a-94ab-473e-9bc6-2a474ba89712
154871,19,22.3,2,86,"2021-08-01 00:47:51",C912,6039de0a-94ab-473e-9bc6-2a474ba89712
154876,18,24.2,132,86,"2021-08-01 00:50:29",C910,6039de0a-94ab-473e-9bc6-2a474ba89712
154877,28,25.6,117,86,"2021-08-01 00:51:50",C905,6039de0a-94ab-473e-9bc6-2a474ba89712
154879,19,23,87,86,"2021-08-01 00:52:35",C902,6039de0a-94ab-473e-9bc6-2a474ba89712
154882,28,25.2,99,86,"2021-08-01 00:56:59",C904,6039de0a-94ab-473e-9bc6-2a474ba89712
154884,31,22.4,361,86,"2021-08-01 00:57:50",C909,6039de0a-94ab-473e-9bc6-2a474ba89712
154889,25,20.4,285,86,"2021-08-01 01:02:51",C911,6039de0a-94ab-473e-9bc6-2a474ba89712
154890,26,22.1,489,86,"2021-08-01 01:07:12",C906,6039de0a-94ab-473e-9bc6-2a474ba89712
154894,14,21.2,81,86,"2021-08-01 01:14:00",C907,6039de0a-94ab-473e-9bc6-2a474ba89712
154895,22,24.2,138,86,"2021-08-01 01:16:08",C908,6039de0a-94ab-473e-9bc6-2a474ba89712
154897,19,22.2,2,86,"2021-08-01 01:18:13",C912,6039de0a-94ab-473e-9bc6-2a474ba89712
154902,18,24.1,132,86,"2021-08-01 01:20:50",C910,6039de0a-94ab-473e-9bc6-2a474ba89712
154903,28,25.4,117,86,"2021-08-01 01:22:03",C905,6039de0a-94ab-473e-9bc6-2a474ba89712
154904,19,22.9,87,86,"2021-08-01 01:22:42",C902,6039de0a-94ab-473e-9bc6-2a474ba89712
154909,31,22.3,360,86,"2021-08-01 01:28:45",C909,6039de0a-94ab-473e-9bc6-2a474ba89712
154911,28,25.1,99,86,"2021-08-01 01:29:23",C904,6039de0a-94ab-473e-9bc6-2a474ba89712
154915,25,20.2,285,86,"2021-08-01 01:33:10",C911,6039de0a-94ab-473e-9bc6-2a474ba89712
154916,26,22,491,86,"2021-08-01 01:37:34",C906,6039de0a-94ab-473e-9bc6-2a474ba89712
154920,14,21.1,81,86,"2021-08-01 01:44:08",C907,6039de0a-94ab-473e-9bc6-2a474ba89712
154921,22,24.1,136,86,"2021-08-01 01:46:31",C908,6039de0a-94ab-473e-9bc6-2a474ba89712
154923,19,22.1,3,86,"2021-08-01 01:48:36",C912,6039de0a-94ab-473e-9bc6-2a474ba89712
154928,18,23.9,131,86,"2021-08-01 01:51:11",C910,6039de0a-94ab-473e-9bc6-2a474ba89712
154929,28,25.3,117,86,"2021-08-01 01:52:18",C905,6039de0a-94ab-473e-9bc6-2a474ba89712
