Widget Name,Device Name,Device ID
Temperature_F001,TEMP-0100,c40239b0-f1cb-11ef-b2fb-b51d9073de7b
Rel_Humidity_F001,HUM-0100,35fcd840-f1cc-11ef-b2fb-b51d9073de7b
Soil_Conductivity_F001,COND-0100,5dadd330-f1cc-11ef-b2fb-b51d9073de7b
Moisture_Content_F001,MOIST-0100,7a44b400-f1cc-11ef-b2fb-b51d9073de7b
Pump-0100 State,PUMP-0100,dd0aa720-f1cc-11ef-b2fb-b51d9073de7b
WaterValve-0100 State,WV-0100,ee521080-f1cd-11ef-b2fb-b51d9073de7b
Pump-0101 State,PUMP-0101,1ba2f9b0-f1cd-11ef-b2fb-b51d9073de7b
Fertilizer-Dispenser-0100 State,FD-0100,8f651c60-f1ce-11ef-b2fb-b51d9073de7b
Plant-Health_F001,CAM-0100,9c0d3b70-f1cc-11ef-b2fb-b51d9073de7b
Temperature_F002,TEMP-0200,a5ce27f0-126a-11f0-9b61-fbae16f6d273
Rel_Humidity_F002,HUM-0200,a40a7ef0-126a-11f0-9b61-fbae16f6d273
Soil_Conductivity_F002,COND-0200,a45606e0-126a-11f0-9b61-fbae16f6d273
Moisture_Content_F002,MOIST-0200,a4bb0a40-126a-11f0-9b61-fbae16f6d273
Pump-0200 State,PUMP-0200,a4e99450-126a-11f0-9b61-fbae16f6d273
WaterValve-0200 State,WV-0200,a3e89f10-126a-11f0-9b61-fbae16f6d273
Pump-0201 State,PUMP-0201,a503ac00-126a-11f0-9b61-fbae16f6d273
Fertilizer-Dispenser-0100 State,FD-0200,a539fe40-126a-11f0-9b61-fbae16f6d273
Plant-Health_F002,CAM-0200,a5989900-126a-11f0-9b61-fbae16f6d273
Temperature_F003,TEMP-0300,a5ea6280-126a-11f0-9b61-fbae16f6d273
Rel_Humidity_F003,HUM-0300,a45d32d1-126a-11f0-9b61-fbae16f6d273
Soil_Conductivity_F003,COND-0300,a471f350-126a-11f0-9b61-fbae16f6d273
Moisture_Content_F003,MOIST-0300,a4f09930-126a-11f0-9b61-fbae16f6d273
Pump-0300 State,PUMP-0300,a51ba0d0-126a-11f0-9b61-fbae16f6d273
WaterValve-0300 State,WV-0300,a41c8050-126a-11f0-9b61-fbae16f6d273
Pump-0301 State,PUMP-0301,a533e3c0-126a-11f0-9b61-fbae16f6d273
Fertilizer-Dispenser-0300 State,FD-0300,a5a82960-126a-11f0-9b61-fbae16f6d273
Plant-Health_F003,CAM-0300,a44e17a0-126a-11f0-9b61-fbae16f6d273
Temperature_F004,TEMP-0400,a605d9c0-126a-11f0-9b61-fbae16f6d273
Rel_Humidity_F004,HUM-0400,a47e7670-126a-11f0-9b61-fbae16f6d273
Soil_Conductivity_F004,COND-0400,a4a00830-126a-11f0-9b61-fbae16f6d273
Moisture_Content_F004,MOIST-0400,a5105630-126a-11f0-9b61-fbae16f6d273
Pump-0400 State,PUMP-0400,a59368e0-126a-11f0-9b61-fbae16f6d273
WaterValve-0400 State,WV-0400,a43efc70-126a-11f0-9b61-fbae16f6d273
Pump-0401 State,PUMP-0401,a5a32050-126a-11f0-9b61-fbae16f6d273
Fertilizer-Dispenser-0400 State,FD-0400,a5c8d0c0-126a-11f0-9b61-fbae16f6d273
Plant-Health_F004,CAM-0400,a4e1cc20-126a-11f0-9b61-fbae16f6d273
Temperature_F005,TEMP-0500,a616c9b0-126a-11f0-9b61-fbae16f6d273
Rel_Humidity_F005,HUM-0500,a4aeae30-126a-11f0-9b61-fbae16f6d273
